id,ee_r264_label,ee_r264_name,country_area_km2,tourism_area_km2,percentage_tourism_area
1,ABW,Aruba,24989.09401436201,35.06369156544319,0.14031597762324236
2,AFG,Afghanistan,643830.5883036465,21622.34625130289,3.35839064563134
3,AGO,Angola,1737415.0355017446,138310.42585787008,7.960701561324275
4,AIA,Anguilla,91911.0217421525,82.36475949424597,0.08961358271624088
5,ALA,Aland,1508.9079032825596,14.525004941650847,0.9626170629799452
6,ALB,Albania,39639.705711558585,5455.896658573205,13.76371635620472
7,AND,Andorra,450.80874588883364,89.5355591867639,19.861096308198682
8,ARE,United Arab Emirates,124799.45987304619,24954.69229002153,19.995833568035472
9,ARG,Argentina,3860978.9141679006,355874.0739800185,9.217198070523903
10,ARM,Armenia,29688.505796961494,7179.011529902294,24.181114330910646
11,ASM,American Samoa,402813.86682716734,104784.31644945445,26.013085714949717
12,ATA,Antarctica,22722169.448510543,1869393.6074156726,8.227179238548514
13,ATF,French Southern Territories,2282189.526296793,2397655.3230241165,105.0594306650195
14,ATG,Antigua and Barbuda,108321.61840322752,764.4568313300099,0.7057287756579829
15,AUS,Australia,15726119.609622521,5012505.49742567,31.873759209860076
16,AUT,Austria,83946.26718994573,14984.30795406982,17.849879995455588
17,AZE,Azerbaijan,166087.01008610957,8906.323151936946,5.362444147389593
18,BDI,Burundi,26936.6215743797,1385.1313143883488,5.142186486020921
19,BEL,Belgium,34104.459532341076,2174.814660311123,6.3769216405519
20,BEN,Benin,145199.07549396434,24412.23845601037,16.812943452264022
21,BES,"Bonaire, Sint Eustatius and Saba",323.6488157807812,88.76551103996277,27.42649029189923
22,BFA,Burkina Faso,272943.7844830004,32901.10743412205,12.054169871075123
23,BGD,Bangladesh,223435.93274797118,18346.70370524144,8.211169743201491
24,BGR,Bulgaria,146417.71499782917,6074.682786014097,4.148871457326159
25,BHR,Bahrain,8043.497299303176,1708.0630418770597,21.235328095715687
26,BHS,Bahamas,607680.6967320885,11644.084592655585,1.9161517973622877
27,BIH,Bosnia and Herzegovina,51076.61615083499,1973.1900796919879,3.863196563110085
28,BLM,Saint Barthelemy,29.047609997271188,16.206942851776084,55.79441080797562
29,BLR,Belarus,207072.90775681104,21305.988034761835,10.289123896296394
30,BLZ,Belize,57860.42959742572,11890.519025174084,20.550346943333288
31,BMU,Bermuda,451713.5890439525,2.2596415691911305,0.0005002376780325871
32,BOL,Bolivia,1084740.6214210188,179704.41828762382,16.566579580306453
33,BRA,Brazil,12133496.695730833,777054.3985651225,6.4042082678320496
34,BRB,Barbados,184171.62432145435,187.77265475104315,0.10195525800614298
35,BRN,Brunei,30930.21773486109,700.6036125276764,2.265110509513272
36,BTN,Bhutan,38761.814276976336,15985.175401054117,41.23949226635906
37,BVT,Bouvet Island,77.37143284288726,77.37143284288726,100.0
38,BWA,Botswana,578036.4642627204,128356.90276225164,22.205675713896277
39,CAF,Central African Republic,620198.9441647823,54072.90249824194,8.718638270347517
40,CAN,Canada,15704739.638589004,1658697.9042742106,10.56176633580432
41,CCK,Cocos Islands,14.49396055002804,2.604401947251267,17.96887702475655
42,CHE,Switzerland,41233.18784900509,1645.857672443804,3.991584833243779
43,CHL,Chile,4415010.192965541,1777912.1389977515,40.26971765162645
44,CHN,China,10263106.537147276,183253.0251594385,1.7855512314537012
45,CIV,Cote d'lvoire,495097.0560281212,46435.51144773727,9.379072422741242
46,CMR,Cameroon,480124.98886783776,72147.64185212151,15.026845826593984
47,COD,Democratic Republic of the Congo,2342438.1480031093,342336.7858294316,14.614549635868428
48,COG,Republic of the Congo,381387.65621636977,168919.62211666224,44.29079425182822
49,COK,Cook Islands,1961440.8788010937,1958046.4957707329,99.82694441280148
50,COL,Colombia,1861284.5810557196,264807.7295811587,14.227148941993594
51,COM,Comoros,165302.0354744123,4749.966710232861,2.8735076955347756
52,CPV,Cabo Verde,801898.1539169707,124.82120343295709,0.015565717768927699
53,CRI,Costa Rica,622915.6521943782,106526.97708551386,17.101348587123407
54,CUB,Cuba,474728.4819654434,71430.62201975536,15.04662659464257
55,CUW,Curacao,489.43742736535046,81.07889987084181,16.565733500866664
56,CXR,Christmas Island,139.68216666423214,93.25422079326118,66.76172271684874
57,CYM,Cayman Islands,119253.63182845179,18.81304684586432,0.015775659455744863
58,CYP,Cyprus,103056.57098248102,1485.513857287991,1.4414547690903854
59,CZE,Czechia,78837.96488570263,19360.419307660162,24.55722865973066
60,DEU,Germany,413589.9351920667,78247.84199582948,18.91918427838241
61,DJI,Djibouti,29247.29455083948,784.9159998549528,2.6837217319043396
62,DMA,Dominica,28639.660520938327,179.84383038694105,0.6279537784865084
63,DNK,Denmark,146201.22052637112,32636.579144603485,22.32305518866489
64,DOM,Dominican Republic,317189.83820547676,26505.00796698887,8.35619707016554
65,DZA,Algeria,2436200.361278674,210319.6352591301,8.633100897692211
66,ECU,Ecuador,1330809.3995400972,549587.4369835214,41.297231382153484
67,EGY,Egypt,1243313.0942866541,132863.66657976026,10.686259735403999
68,ERI,Eritrea,198335.6408757037,26272.66047146591,13.246565446061659
69,ESH,Western Sahara,267329.6454683227,7.898334649518997,0.0029545300281539157
70,ESP,Spain,1508555.421660692,133652.94578044696,8.85966427625942
71,EST,Estonia,81647.09429170977,32934.889696022336,40.33810386240096
72,ETH,Ethiopia,1129018.6587772798,94870.49046809509,8.402916083852789
73,FIN,Finland,417128.4295489013,46707.992111110725,11.197508681348463
74,FJI,Fiji,1299665.9927730185,1591.8470813388822,0.12248124442668955
75,FLK,Falkland Islands,563733.0400499431,24509.68528417192,4.3477468132789445
76,FRA,France,1929707.3588670448,369656.2586873547,19.156078614136835
77,FRO,Faroe Islands,268744.0371902435,636.9796496074733,0.2370209424057124
78,FSM,Micronesia,2994025.977897017,0.0,0.0
79,GAB,Gabon,456469.73056838074,61788.360785582736,13.536135399086803
80,GBR,United Kingdom,971304.7499179534,437903.6829575659,45.084066869286474
81,GEO,Georgia,92587.00038388763,6297.942098804522,6.802188290679862
82,GGY,Guernsey,8891.045262514886,36.947748158439,0.4155613549085465
83,GHA,Ghana,465193.99352455174,11734.576830928909,2.522512541922919
84,GIB,Gibraltar,484.08811617047036,0.0,0.0
85,GIN,Guinea,353915.89074392413,55903.2473041466,15.795630760359217
